file,alloy,aging_hours,idx,status,scale_source,px_size_um,mean_thickness_um,median_thickness_um,std_thickness_um,min_thickness_um,max_thickness_um,mean_thickness_px,mode,solder_detected,confidence,pct_valid_columns,needs_review
E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\IMC 측정\main\100_500_12.jpg,100,500,12,ok,E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\240806_SEM\100_500_12.txt,0.018867924528301886,12.70821049528302,12.886792452830187,0.5500732221035304,11.075471698113207,13.50943396226415,673.53515625,texture-seam Cu boundary + grayscale phase grouping (area method),True,medium-high (자동 검출 — 오버레이 육안 확인 권장),1.0,False
E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\IMC 측정\main\100_500_24.jpg,100,500,24,ok,E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\240806_SEM\100_500_24.txt,0.018867924528301886,9.846373820754717,11.773584905660377,3.4273242994994026,3.849056603773585,13.30188679245283,521.8578125,texture-seam Cu boundary + grayscale phase grouping (area method),True,medium-high (자동 검출 — 오버레이 육안 확인 권장),1.0,False
E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\IMC 측정\main\100_500_32.jpg,100,500,32,ok,E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\240806_SEM\100_500_32.txt,0.018867924528301886,10.08338738207547,12.415094339622641,4.190354677235865,1.660377358490566,13.132075471698112,534.41953125,texture-seam Cu boundary + grayscale phase grouping (area method),True,medium-high (자동 검출 — 오버레이 육안 확인 권장),1.0,False
E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\IMC 측정\main\50_0_12.jpg,50,0,12,ok,E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\240806_SEM\50_0_12.txt,0.018867924528301886,7.057104952830189,6.754716981132075,4.235529712588565,1.2264150943396226,13.415094339622641,374.0265625,texture-seam Cu boundary + grayscale phase grouping (area method),True,medium-high (자동 검출 — 오버레이 육안 확인 권장),1.0,False
E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\IMC 측정\main\50_0_22.jpg,50,0,22,ok,E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\240806_SEM\50_0_22.txt,0.018867924528301886,11.160436320754716,11.981132075471697,2.0616691010211867,5.811320754716981,13.11320754716981,591.503125,texture-seam Cu boundary + grayscale phase grouping (area method),True,medium-high (자동 검출 — 오버레이 육안 확인 권장),1.0,False
E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\IMC 측정\main\50_0_29.jpg,50,0,29,ok,E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\240806_SEM\50_0_29.txt,0.018867924528301886,10.796757075471698,12.320754716981131,3.1762919220888595,2.6226415094339623,13.358490566037736,572.228125,texture-seam Cu boundary + grayscale phase grouping (area method),True,medium-high (자동 검출 — 오버레이 육안 확인 권장),1.0,False
E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\IMC 측정\main\50_1000_11.jpg,50,1000,11,ok,E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\240725_SEM image\50_1000_11.txt,0.018867924528301886,11.539431014150942,12.415094339622641,2.283750520380466,5.283018867924528,14.075471698113207,611.58984375,texture-seam Cu boundary + grayscale phase grouping (area method),True,medium-high (자동 검출 — 오버레이 육안 확인 권장),1.0,False
E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\IMC 측정\main\50_1000_12.jpg,50,1000,12,ok,E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\240725_SEM image\50_1000_12.txt,0.018867924528301886,11.314401533018867,12.471698113207546,2.2279025123574576,6.113207547169811,13.90566037735849,599.66328125,texture-seam Cu boundary + grayscale phase grouping (area method),True,medium-high (자동 검출 — 오버레이 육안 확인 권장),1.0,False
E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\IMC 측정\main\50_1000_9.jpg,50,1000,9,ok,E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\240725_SEM image\50_1000_9.txt,0.018867924528301886,11.86998820754717,13.028301886792452,2.3472515636061098,5.754716981132075,14.188679245283017,629.109375,texture-seam Cu boundary + grayscale phase grouping (area method),True,medium-high (자동 검출 — 오버레이 육안 확인 권장),1.0,False
E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\IMC 측정\main\50_200_13.jpg,50,200,13,ok,E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\240801_SEM\50_200_13.txt,0.018867924528301886,11.225560141509433,12.19811320754717,1.7900103899849154,7.39622641509434,13.377358490566037,594.9546875,texture-seam Cu boundary + grayscale phase grouping (area method),True,medium-high (자동 검출 — 오버레이 육안 확인 권장),1.0,False
